Date,Open,High,Low,Close,Adj Close,Volume
13/01/2021,103.239998,104.339996,103.199997,103.889999,103.889999,794400
14/01/2021,103.650002,103.980003,103.239998,103.419998,103.419998,831100
15/01/2021,101.790001,102.699997,101.529999,102.050003,102.050003,1027600
19/01/2021,102.029999,102.440002,101.699997,102.230003,102.230003,701000
20/01/2021,102.43,103.599998,102.43,102.889999,102.889999,874000
21/01/2021,102.910004,103.199997,101.900002,102.550003,102.550003,649200
22/01/2021,101.620003,101.93,101.029999,101.110001,101.110001,759600
25/01/2021,99.699997,99.940002,97.82,99.279999,99.279999,1457800
26/01/2021,99.849998,100.18,99.389999,99.709999,99.709999,775000
27/01/2021,97.779999,98.879997,96.889999,97,97,1115200
28/01/2021,96.379997,98.419998,96.199997,97.650002,97.650002,1439700
29/01/2021,97,97.089996,95.089996,95.709999,95.709999,859200
01/02/2021,97.610001,98.639999,96.940002,98.529999,98.529999,1499500
02/02/2021,99.5,99.830002,99.169998,99.239998,99.239998,1267700
03/02/2021,108.300003,112.290001,106.959999,111.309998,111.309998,3026200
04/02/2021,110.980003,111.150002,109.010002,110.879997,110.879997,1382400
05/02/2021,118.029999,118.5,115.239998,116.709999,116.709999,2026500
08/02/2021,114.360001,115.639999,114.360001,115.620003,115.620003,1067800
09/02/2021,112.57,113.43,111.989998,112.639999,112.639999,1014300
10/02/2021,114.5,114.5,112.279999,113.309998,113.309998,606400
11/02/2021,114.019997,114.739998,113.440002,113.970001,113.970001,470300
12/02/2021,112.809998,113.620003,112.790001,113.529999,113.529999,557700
16/02/2021,115.849998,115.900002,114.419998,114.970001,114.970001,849400
17/02/2021,115.309998,115.309998,113.860001,114.919998,114.919998,592200
18/02/2021,113.25,113.870003,112.43,113.519997,113.519997,567200
19/02/2021,114.010002,117.809998,113.910004,115.540001,115.540001,1988600
22/02/2021,113.529999,114.910004,113.029999,113.279999,113.279999,1096400
23/02/2021,110.970001,112.860001,109.540001,112.43,112.43,1067300
24/02/2021,108.32,109.970001,108.110001,109.599998,109.599998,1474800
